coddis,ano,turmas,pfx,matr,semestre,unidade
0313502,2020,2,031,127,ambos,EP
0313512,2018,2,031,73,ambos,EP
0313512,2019,2,031,123,ambos,EP
0313512,2020,2,031,142,ambos,EP
0313513,2018,1,031,7,1,EP
0313513,2019,1,031,8,1,EP
0313513,2020,1,031,10,1,EP
0313514,2018,1,031,8,2,EP
0313514,2019,1,031,10,2,EP
0313514,2020,1,031,10,2,EP
0313515,2018,1,031,7,1,EP
0313515,2019,1,031,7,1,EP
0313515,2020,1,031,11,1,EP
0313516,2018,1,031,6,2,EP
0313516,2019,1,031,7,2,EP
0313516,2020,1,031,9,2,EP
0313531,2018,2,031,20,ambos,EP
0313531,2019,1,031,18,1,EP
0313532,2018,1,031,16,2,EP
0313532,2019,2,031,19,ambos,EP
0313541,2018,1,031,7,1,EP
0313541,2019,1,031,5,1,EP
0313541,2020,1,031,8,1,EP
0313542,2018,1,031,7,2,EP
0313542,2019,1,031,5,2,EP
0313542,2020,1,031,8,2,EP
0313561,2018,1,031,29,1,EP
0313561,2019,1,031,40,1,EP
0313561,2020,1,031,37,1,EP
0313562,2018,1,031,28,2,EP
0313562,2019,1,031,42,2,EP
0313562,2020,1,031,59,2,EP
0323100,2014,8,032,183,2,EP
0323100,2015,8,032,190,2,EP
0323100,2016,8,032,203,2,EP
0323100,2017,8,032,190,2,EP
0323100,2018,8,032,209,2,EP
0323100,2019,8,032,204,2,EP
0323100,2020,8,032,176,2,EP
0323113,2017,1,032,66,2,EP
0323113,2018,1,032,122,2,EP
0323113,2019,1,032,71,2,EP
0323113,2020,1,032,47,2,EP
0323150,2019,1,032,2,2,EP
0323200,2018,1,032,41,1,EP
0323200,2019,1,032,2,1,EP
0323200,2020,1,032,28,1,EP
0323201,2018,1,032,19,1,EP
0323201,2019,1,032,7,1,EP
0323201,2020,1,032,9,1,EP
0410107,2012,12,041,273,1,IB
0410107,2013,4,041,296,1,IB
0410107,2014,4,041,282,1,IB
0410107,2015,4,041,287,1,IB
0410107,2016,4,041,287,1,IB
0410107,2017,4,041,316,1,IB
0410107,2018,4,041,265,1,IB
0410107,2019,4,041,297,1,IB
0410107,2020,4,041,279,1,IB
0410109,2012,18,041,242,1,IB
0410109,2013,4,041,242,1,IB
0410109,2014,4,041,246,1,IB
0410109,2015,4,041,254,1,IB
0410109,2016,4,041,239,1,IB
0410109,2017,4,041,244,1,IB
0410109,2018,4,041,255,1,IB
0410109,2019,4,041,250,1,IB
0410109,2020,4,041,245,1,IB
0410111,2012,6,041,20,1,IB
0410111,2013,2,041,36,1,IB
0410111,2014,2,041,18,1,IB
0410111,2015,2,041,57,1,IB
0410111,2016,1,041,17,1,IB
0410111,2019,1,041,16,1,IB
0410113,2012,16,041,255,1,IB
0410113,2013,4,041,254,1,IB
0410113,2014,4,041,252,1,IB
0410113,2015,4,041,261,1,IB
0410113,2016,4,041,239,1,IB
0410113,2017,4,041,254,1,IB
